grupo_municipal,scenario_code,scenario_label,factor_recaudacion,iusi_per_capita_base_q,iusi_per_capita_simulado_q,delta_per_capita_q,delta_per_capita_pct,iusi_ingresos_propios_base_pct,iusi_ingresos_propios_simulado_pct,iusi_ingresos_totales_base_pct,iusi_ingresos_totales_simulado_pct,share_tasa_cero_pct,share_regimen_preferencial_pct,value_uplift_pct,preferential_factor_before_uplift,scenario_note
Grandes,baseline,Estructura actual 2/6/9,1.000000,221.235079,221.235079,0.000000,0.000000,31.026416,31.026416,18.538497,18.538497,0.000000,0.000000,0.000000,1.000000,Escenario observado de referencia por grupo.
Grandes,jh_f1_low,JH-F1 bajo,0.810004,221.235079,179.201291,-42.033788,-18.999603,31.026416,25.131520,18.538497,15.016256,10.000000,20.000000,10.000000,0.500018,Escenario prudente: baja cobertura efectiva de tasa cero y adopcion limitada del regimen preferencial.
Grandes,jh_f1_central,JH-F1 central,0.717006,221.235079,158.626963,-62.608116,-28.299362,31.026416,22.246138,18.538497,13.292221,16.000000,30.000000,18.000000,0.500018,"Escenario central: combina vivienda habitual exenta, primera vivienda y adopcion intermedia del regimen preferencial con actualizacion de valor."
Grandes,jh_f1_high,JH-F1 alto,0.630009,221.235079,139.380094,-81.854985,-36.999099,31.026416,19.546922,18.538497,11.679420,22.000000,40.000000,25.000000,0.500018,Escenario expansivo: alta cobertura de tasa cero y alta adopcion del regimen preferencial con revalorizacion declarada.
Medianas,baseline,Estructura actual 2/6/9,1.000000,44.367482,44.367482,0.000000,0.000000,11.971021,11.971021,3.989094,3.989094,0.000000,0.000000,0.000000,1.000000,Escenario observado de referencia por grupo.
Medianas,jh_f1_low,JH-F1 bajo,0.751966,44.367482,33.362837,-11.004645,-24.803402,11.971021,9.001801,3.989094,2.999663,12.000000,25.000000,12.000000,0.435593,Escenario prudente: baja cobertura efectiva de tasa cero y adopcion limitada del regimen preferencial.
Medianas,jh_f1_central,JH-F1 central,0.632949,44.367482,28.082352,-16.285130,-36.705102,11.971021,7.577045,3.989094,2.524893,20.000000,35.000000,20.000000,0.435593,"Escenario central: combina vivienda habitual exenta, primera vivienda y adopcion intermedia del regimen preferencial con actualizacion de valor."
Medianas,jh_f1_high,JH-F1 alto,0.524822,44.367482,23.285021,-21.082461,-47.517821,11.971021,6.282653,3.989094,2.093563,28.000000,45.000000,30.000000,0.435593,Escenario expansivo: alta cobertura de tasa cero y alta adopcion del regimen preferencial con revalorizacion declarada.
Pequenas,baseline,Estructura actual 2/6/9,1.000000,7.260884,7.260884,0.000000,0.000000,1.781091,1.781091,0.629478,0.629478,0.000000,0.000000,0.000000,1.000000,Escenario observado de referencia por grupo.
Pequenas,jh_f1_low,JH-F1 bajo,0.723392,7.260884,5.252468,-2.008416,-27.660765,1.781091,1.288428,0.629478,0.455360,14.000000,22.000000,15.000000,0.329614,Escenario prudente: baja cobertura efectiva de tasa cero y adopcion limitada del regimen preferencial.
Pequenas,jh_f1_central,JH-F1 central,0.571846,7.260884,4.152105,-3.108779,-42.815439,1.781091,1.018509,0.629478,0.359964,24.000000,32.000000,25.000000,0.329614,"Escenario central: combina vivienda habitual exenta, primera vivienda y adopcion intermedia del regimen preferencial con actualizacion de valor."
Pequenas,jh_f1_high,JH-F1 alto,0.426891,7.260884,3.099607,-4.161277,-57.310885,1.781091,0.760332,0.629478,0.268719,34.000000,42.000000,35.000000,0.329614,Escenario expansivo: alta cobertura de tasa cero y alta adopcion del regimen preferencial con revalorizacion declarada.
