profile_code,perfil,edad,ingreso_mensual_q,ingreso_anual_q,valor_mercado_total_q,valor_fiscal_actual_q,valor_fiscal_actualizado_q,numero_propiedades,principal_residence,recognized_contributor,years_control,first_home,years_since_purchase,persona_juridica,uso_inmueble,update_value_for_preferential,uplift_pct,iusi_actual_q_anual,jh_tasa_cero_q_anual,jh_preferencial_habitual_q_anual,jh_preferencial_actualizacion_q_anual,jh_final_q_anual,delta_final_vs_actual_q,delta_final_vs_actual_pct,qualifies_age_zero,qualifies_first_home_zero,qualifies_pref_habitual,qualifies_pref_update,zero_route,pref_route,best_route,carga_actual_sobre_ingreso_pct,carga_final_sobre_ingreso_pct,notes
elder_low,Adulto mayor de bajos ingresos con vivienda unica,67,3000.000000,36000.000000,250000.000000,50000.000000,57500.000000,1,True,True,12,False,12,False,residencial,True,15.000000,450.000000,0.000000,90.000000,112.500000,0.000000,-450.000000,-100.000000,True,False,True,True,Tasa cero por edad 60+,Preferencial por vivienda habitual y actualizacion,Tasa cero,1.250000,0.000000,Perfil vulnerable clasico que deberia capturar con claridad la tasa cero por edad.
elder_high,Adulto mayor con vivienda principal de alto valor,72,12000.000000,144000.000000,1800000.000000,360000.000000,414000.000000,1,True,True,15,False,15,False,residencial,True,15.000000,3240.000000,0.000000,1020.000000,1182.000000,0.000000,-3240.000000,-100.000000,True,False,True,True,Tasa cero por edad 60+,Preferencial por vivienda habitual y actualizacion,Tasa cero,2.250000,0.000000,Mide si la regla de 60+ tambien exonera vivienda principal de alto valor.
elder_multi,Adulto mayor con vivienda principal y otras propiedades,68,18000.000000,216000.000000,900000.000000,180000.000000,207000.000000,3,True,True,12,False,20,False,residencial,True,15.000000,1620.000000,0.000000,480.000000,561.000000,0.000000,-1620.000000,-100.000000,True,False,True,True,Tasa cero por edad 60+,Preferencial por vivienda habitual y actualizacion,Tasa cero,0.750000,0.000000,Permite ver si la propuesta deja tasa cero sobre la vivienda habitual aun cuando existan otras propiedades.
young_first,Persona joven con primera vivienda,31,7000.000000,84000.000000,420000.000000,84000.000000,100800.000000,1,True,True,2,True,2,False,residencial,True,20.000000,756.000000,0.000000,192.000000,242.400000,0.000000,-756.000000,-100.000000,False,True,True,True,Tasa cero por primera vivienda,Preferencial por vivienda habitual y actualizacion,Tasa cero,0.900000,0.000000,Perfil tipico de primera vivienda que deberia capturar la tasa cero por siete anos.
middle_main,Hogar formal de clase media con vivienda habitual,45,8500.000000,102000.000000,650000.000000,130000.000000,156000.000000,1,True,True,8,False,8,False,residencial,True,20.000000,1170.000000,1170.000000,330.000000,408.000000,330.000000,-840.000000,-71.794872,False,False,True,True,No califica,Preferencial por vivienda habitual y actualizacion,Preferencial vivienda habitual,1.147059,0.323529,No califica a tasa cero
informal_main,Hogar informal con vivienda principal reconocida fiscalmente,40,4500.000000,54000.000000,320000.000000,64000.000000,76800.000000,1,True,True,6,False,6,False,residencial,True,20.000000,576.000000,576.000000,132.000000,170.400000,132.000000,-444.000000,-77.083333,False,False,True,True,No califica,Preferencial por vivienda habitual y actualizacion,Preferencial vivienda habitual,1.066667,0.244444,Prueba que el beneficio no exige necesariamente titulo registral completo si hay reconocimiento fiscal o administrativo.
rentista_main,Rentista con vivienda principal y alquileres,50,25000.000000,300000.000000,1200000.000000,240000.000000,288000.000000,3,True,True,10,False,10,False,residencial,True,20.000000,2160.000000,2160.000000,660.000000,804.000000,660.000000,-1500.000000,-69.444444,False,False,True,True,No califica,Preferencial por vivienda habitual y actualizacion,Preferencial vivienda habitual,0.720000,0.220000,Puede usar el regimen preferencial en su vivienda habitual aunque tenga otras unidades rentadas.
landlord_update,Arrendador formal que actualiza valor de inmueble no habitual,48,22000.000000,264000.000000,1400000.000000,280000.000000,350000.000000,2,False,True,9,False,9,False,residencial,True,25.000000,2520.000000,2520.000000,2520.000000,990.000000,990.000000,-1530.000000,-60.714286,False,False,False,True,No califica,Preferencial por actualizacion,Preferencial por actualizacion,0.954545,0.375000,Prueba el acceso al regimen preferencial por actualizacion al alza en inmuebles no habituales.
corp_res,Persona juridica con inmueble residencial,0,0.000000,0.000000,900000.000000,180000.000000,216000.000000,1,False,True,10,False,10,True,residencial,True,20.000000,1620.000000,1620.000000,1620.000000,1620.000000,1620.000000,0.000000,0.000000,False,False,False,False,No califica,No califica,Actual,0.000000,0.000000,Las personas juridicas quedan fuera de tasa cero y de la lectura social central de la propuesta.
short_term,Renta corta turistica registrada como residencial,38,18000.000000,216000.000000,800000.000000,160000.000000,192000.000000,1,False,True,7,False,7,False,turistico,True,20.000000,1440.000000,1440.000000,1440.000000,516.000000,516.000000,-924.000000,-64.166667,False,False,False,True,No califica,Preferencial por actualizacion,Preferencial por actualizacion,0.666667,0.238889,La definicion de uso deberia excluir este caso del trato residencial protegido.
